date,departure_time,weekday,month,origin,destination,travel_time_mins,delay_mins,congestion_level,is_raining,recommended_departure
2020-02-02,00:00,6,2,Dadar,Nariman Point,20,2,Low,No,00:00
2022-02-20,20:30,6,2,Kandivali,Goregaon,70,25,High,No,19:30
2020-12-09,13:15,2,12,Vasai,Virar,37,14,Medium,No,13:15
2020-04-20,02:00,0,4,Bandra,Worli,37,0,Low,Yes,02:00
2021-02-07,15:15,6,2,Andheri,BKC,32,10,Low,No,15:15
2020-04-14,04:45,1,4,Kandivali,Goregaon,30,0,Low,No,04:45
2021-05-08,19:45,5,5,Vasai,Virar,55,20,High,No,18:45
2021-10-23,15:15,5,10,Thane,Kurla,33,3,Medium,No,15:15
2020-09-09,00:15,2,9,Navi Mumbai,CST,29,1,Low,Yes,00:15
2022-09-15,08:15,3,9,Andheri,BKC,76,24,High,No,07:15
2021-02-23,23:30,1,2,Dadar,Nariman Point,28,12,Medium,No,23:30
2021-01-15,18:30,4,1,Kandivali,Goregaon,99,50,Very High,No,17:30
2020-05-19,11:00,1,5,Malad,Lower Parel,32,8,Medium,No,11:00
2021-08-30,05:30,0,8,Powai,Andheri,53,16,Medium,Yes,05:30
2020-01-27,04:15,0,1,Dadar,Nariman Point,19,3,Low,No,04:15
2021-08-29,03:45,6,8,Kandivali,Goregaon,22,0,Low,Yes,03:45
2021-03-26,20:15,4,3,Thane,Kurla,62,35,High,No,19:15
2022-07-29,21:30,4,7,Andheri,BKC,40,10,Low,No,21:30
2022-07-31,19:00,6,7,Kandivali,Goregaon,62,22,Low,Yes,19:00
2020-01-11,11:15,5,1,Kandivali,Goregaon,33,9,Low,No,11:15
2020-05-16,00:00,5,5,Borivali,Churchgate,16,0,Low,No,00:00
2020-04-27,22:30,0,4,Navi Mumbai,CST,37,18,Medium,No,22:30
2020-11-02,23:45,0,11,Vasai,Virar,22,20,Low,No,23:45
2020-07-14,04:00,1,7,Thane,Kurla,32,1,Low,Yes,04:00
2020-02-07,06:45,4,2,Powai,Andheri,27,6,Medium,No,06:45
2021-11-20,16:15,5,11,Powai,Andheri,21,6,Low,No,16:15
2020-09-06,07:00,6,9,Powai,Andheri,33,6,Medium,No,07:00
2020-04-25,05:45,5,4,Thane,Kurla,25,3,Low,No,05:45
2020-08-17,20:15,0,8,Vasai,Virar,126,49,High,Yes,19:15
2022-08-27,06:45,5,8,Borivali,Churchgate,41,7,Medium,Yes,06:45
2020-12-18,13:45,4,12,Thane,Kurla,47,18,Low,No,13:45
2022-04-19,13:15,1,4,Borivali,Churchgate,23,5,Medium,No,13:15
2020-02-15,19:00,5,2,Vasai,Virar,54,24,High,No,18:00
2020-11-12,20:00,3,11,Vasai,Virar,97,25,High,No,19:00
2021-06-12,07:15,5,6,Malad,Lower Parel,39,13,Medium,Yes,07:15
2020-05-06,02:15,2,5,Dadar,Nariman Point,25,4,Low,No,02:15
2020-03-04,15:00,2,3,Kandivali,Goregaon,43,11,Medium,No,15:00
2020-11-07,14:45,5,11,Powai,Andheri,39,10,Low,No,14:45
2020-08-21,01:00,4,8,Powai,Andheri,26,5,Low,No,01:00
2021-04-24,07:15,5,4,Navi Mumbai,CST,21,4,Medium,No,07:15
2022-02-23,19:30,2,2,Malad,Lower Parel,73,50,High,No,18:30
2022-04-28,22:30,3,4,Malad,Lower Parel,22,17,Medium,No,22:30
2021-08-09,03:15,0,8,Navi Mumbai,CST,17,1,Low,No,03:15
2022-06-20,02:45,0,6,Malad,Lower Parel,29,1,Low,Yes,02:45
2021-05-05,07:45,2,5,Malad,Lower Parel,42,14,Low,No,07:45
2020-03-29,12:15,6,3,Dadar,Nariman Point,32,5,Low,No,12:15
2022-08-11,12:00,3,8,Malad,Lower Parel,34,11,Medium,No,12:00
2021-06-07,13:45,0,6,Navi Mumbai,CST,38,8,Low,No,13:45
2020-11-24,17:45,1,11,Borivali,Churchgate,53,31,High,No,16:45
2021-01-06,11:15,2,1,Thane,Kurla,27,13,Medium,Yes,11:15
2021-10-06,20:15,2,10,Borivali,Churchgate,100,32,High,No,19:15
2021-09-16,15:00,3,9,Powai,Andheri,30,15,Low,No,15:00
2021-09-01,13:30,2,9,Kandivali,Goregaon,29,12,Medium,No,13:30
2022-06-30,20:30,3,6,Borivali,Churchgate,90,48,Very High,No,19:30
2021-11-04,12:30,3,11,Dadar,Nariman Point,23,7,Medium,No,12:30
2022-03-30,20:15,2,3,Bandra,Worli,67,31,Very High,No,19:15
2020-10-14,03:15,2,10,Malad,Lower Parel,28,4,Low,No,03:15
2020-11-25,02:45,2,11,Bandra,Worli,19,3,Low,No,02:45
2021-04-30,16:30,4,4,Malad,Lower Parel,44,20,Low,No,16:30
2022-03-23,23:30,2,3,Navi Mumbai,CST,34,9,Low,No,23:30
2020-01-06,20:15,0,1,Thane,Kurla,63,32,Very High,No,19:15
2020-10-16,07:00,4,10,Thane,Kurla,26,18,Low,No,07:00
2020-11-08,03:30,6,11,Bandra,Worli,23,0,Low,No,03:30
2020-05-02,09:00,5,5,Vasai,Virar,43,13,High,No,08:00
2022-02-22,16:30,1,2,Thane,Kurla,47,19,Medium,No,16:30
2021-10-29,20:30,4,10,Dadar,Nariman Point,92,44,High,No,19:30
2020-10-03,01:15,5,10,Dadar,Nariman Point,24,2,Low,No,01:15
2022-06-18,13:45,5,6,Thane,Kurla,41,10,Medium,Yes,13:45
2021-02-16,17:45,1,2,Powai,Andheri,87,39,Very High,No,16:45
2022-08-05,01:45,4,8,Bandra,Worli,19,0,Low,Yes,01:45
2021-07-21,22:30,2,7,Powai,Andheri,30,20,Medium,No,22:30
2022-01-04,21:45,1,1,Bandra,Worli,27,18,Medium,No,21:45
2020-03-26,00:00,3,3,Malad,Lower Parel,24,3,Low,No,00:00
2022-03-19,02:45,5,3,Vasai,Virar,20,3,Low,No,02:45
2020-06-04,16:15,3,6,Bandra,Worli,42,14,Medium,No,16:15
2020-03-27,06:15,4,3,Andheri,BKC,44,20,Medium,No,06:15
2022-08-26,18:30,4,8,Thane,Kurla,63,37,Very High,No,17:30
2020-02-19,12:45,2,2,Navi Mumbai,CST,42,14,Low,No,12:45
2020-09-10,14:00,3,9,Powai,Andheri,36,12,Medium,No,14:00
2021-11-14,04:00,6,11,Borivali,Churchgate,23,3,Low,No,04:00
2020-11-30,14:45,0,11,Borivali,Churchgate,24,8,Medium,No,14:45
2022-07-13,10:15,2,7,Dadar,Nariman Point,84,61,Very High,Yes,09:15
2021-10-09,11:00,5,10,Borivali,Churchgate,40,3,Low,No,11:00
2022-07-14,09:15,3,7,Bandra,Worli,106,33,High,Yes,08:15
2021-08-27,03:15,4,8,Powai,Andheri,21,5,Low,No,03:15
2021-07-30,23:30,4,7,Malad,Lower Parel,29,13,Low,No,23:30
2020-09-30,17:45,2,9,Thane,Kurla,102,46,Very High,Yes,16:45
2021-01-30,23:30,5,1,Andheri,BKC,16,6,Medium,No,23:30
2021-02-14,17:15,6,2,Powai,Andheri,76,28,Low,No,17:15
2020-04-02,11:00,3,4,Malad,Lower Parel,49,12,Medium,No,11:00
2020-01-19,17:45,6,1,Navi Mumbai,CST,47,22,High,No,16:45
2021-02-18,20:15,3,2,Vasai,Virar,79,34,Very High,No,19:15
2022-01-31,07:00,0,1,Powai,Andheri,46,8,Low,No,07:00
2020-04-02,00:00,3,4,Thane,Kurla,26,0,Low,No,00:00
2020-09-04,12:00,4,9,Vasai,Virar,59,25,Medium,Yes,12:00
2022-07-29,00:15,4,7,Kandivali,Goregaon,22,3,Low,Yes,00:15
2022-04-12,01:00,1,4,Kandivali,Goregaon,27,5,Low,No,01:00
2020-05-02,10:15,5,5,Navi Mumbai,CST,37,19,High,No,09:15
2022-08-14,10:30,6,8,Malad,Lower Parel,53,24,High,No,09:30
2020-06-02,03:30,1,6,Bandra,Worli,35,4,Low,Yes,03:30
2020-09-21,03:30,0,9,Borivali,Churchgate,19,6,Low,Yes,03:30
2021-03-07,16:30,6,3,Borivali,Churchgate,24,7,Medium,No,16:30
2022-06-03,08:30,4,6,Thane,Kurla,55,38,Very High,No,07:30
2022-08-31,18:00,2,8,Vasai,Virar,92,34,Very High,No,17:00
2020-12-18,23:30,4,12,Andheri,BKC,22,10,Medium,No,23:30
2022-09-19,05:15,0,9,Powai,Andheri,23,11,Medium,No,05:15
2020-03-28,02:45,5,3,Vasai,Virar,24,1,Low,No,02:45
2021-07-07,06:00,2,7,Kandivali,Goregaon,46,28,Low,Yes,06:00
2021-06-28,20:30,0,6,Bandra,Worli,118,51,Very High,Yes,19:30
2022-04-03,21:00,6,4,Malad,Lower Parel,28,6,Medium,No,21:00
2022-07-12,00:30,1,7,Kandivali,Goregaon,22,7,Low,Yes,00:30
2022-06-03,06:15,4,6,Powai,Andheri,65,9,Medium,Yes,06:15
2020-02-13,18:45,3,2,Kandivali,Goregaon,79,43,Very High,No,17:45
2020-04-22,08:30,2,4,Thane,Kurla,85,41,Very High,No,07:30
2021-11-08,22:45,0,11,Thane,Kurla,50,27,Medium,Yes,22:45
2021-06-14,11:15,0,6,Borivali,Churchgate,30,7,Low,No,11:15
2020-11-15,09:30,6,11,Kandivali,Goregaon,49,15,Low,No,09:30
2021-10-28,08:15,3,10,Powai,Andheri,54,30,High,No,07:15
2020-05-31,10:00,6,5,Powai,Andheri,48,16,High,No,09:00
2021-10-11,12:15,0,10,Thane,Kurla,47,13,Medium,No,12:15
2020-11-20,07:15,4,11,Thane,Kurla,50,20,Medium,No,07:15
2020-03-11,01:45,2,3,Borivali,Churchgate,20,5,Low,No,01:45
2022-05-14,16:15,5,5,Bandra,Worli,20,12,Low,No,16:15
2021-11-02,09:00,1,11,Powai,Andheri,48,31,High,No,08:00
2020-10-03,03:00,5,10,Kandivali,Goregaon,22,0,Low,No,03:00
2021-05-29,05:30,5,5,Thane,Kurla,20,7,Medium,No,05:30
2020-09-16,18:30,2,9,Powai,Andheri,97,43,High,No,17:30
2020-02-27,02:30,3,2,Malad,Lower Parel,21,3,Low,No,02:30
2021-07-08,01:00,3,7,Borivali,Churchgate,39,7,Low,Yes,01:00
2022-08-17,15:00,2,8,Dadar,Nariman Point,22,19,Medium,No,15:00
2021-04-07,20:45,2,4,Powai,Andheri,68,43,High,No,19:45
2021-08-17,07:15,1,8,Powai,Andheri,49,19,Medium,Yes,07:15
2021-01-09,09:45,5,1,Kandivali,Goregaon,65,24,High,No,08:45
2022-07-16,21:30,5,7,Malad,Lower Parel,21,11,Medium,No,21:30
2022-08-29,00:00,0,8,Powai,Andheri,25,4,Low,No,00:00
2020-05-20,14:00,2,5,Borivali,Churchgate,33,6,Medium,No,14:00
2022-04-21,09:15,3,4,Dadar,Nariman Point,86,22,High,No,08:15
2020-08-22,04:45,5,8,Thane,Kurla,16,0,Low,No,04:45
2021-10-07,14:00,3,10,Andheri,BKC,42,14,Medium,No,14:00
2022-06-06,14:30,0,6,Bandra,Worli,48,5,Medium,No,14:30
2022-02-27,09:45,6,2,Thane,Kurla,51,22,High,No,08:45
2021-06-23,01:45,2,6,Bandra,Worli,35,1,Low,Yes,01:45
2020-01-29,14:45,2,1,Malad,Lower Parel,41,9,Medium,No,14:45
2022-02-28,00:45,0,2,Powai,Andheri,15,0,Low,No,00:45
2021-05-31,07:15,0,5,Dadar,Nariman Point,28,18,Medium,No,07:15
2020-09-30,11:30,2,9,Navi Mumbai,CST,65,13,Medium,Yes,11:30
2021-04-26,07:00,0,4,Bandra,Worli,23,8,Low,No,07:00
2020-12-07,07:15,0,12,Vasai,Virar,37,16,Medium,No,07:15
2022-05-31,02:15,1,5,Bandra,Worli,23,1,Low,No,02:15
2021-11-15,18:45,0,11,Malad,Lower Parel,61,28,Very High,No,17:45
2022-01-12,02:30,2,1,Powai,Andheri,22,0,Low,No,02:30
2021-09-16,19:00,3,9,Kandivali,Goregaon,50,44,Very High,No,18:00
2020-02-18,06:15,1,2,Malad,Lower Parel,28,6,Medium,No,06:15
2022-01-18,13:30,1,1,Kandivali,Goregaon,48,7,Medium,No,13:30
2020-11-12,19:00,3,11,Malad,Lower Parel,88,39,Very High,No,18:00
2022-01-23,11:30,6,1,Borivali,Churchgate,17,6,Medium,No,11:30
2020-08-30,18:45,6,8,Andheri,BKC,88,45,Low,Yes,18:45
2022-02-23,09:45,2,2,Kandivali,Goregaon,69,41,Very High,No,08:45
2022-07-09,03:00,5,7,Andheri,BKC,15,0,Low,Yes,03:00
2021-01-18,02:30,0,1,Vasai,Virar,27,2,Low,No,02:30
2020-11-03,09:00,1,11,Bandra,Worli,48,24,Very High,No,08:00
2022-08-25,17:00,3,8,Andheri,BKC,66,27,Very High,No,16:00
2021-09-20,11:00,0,9,Thane,Kurla,65,16,Medium,Yes,11:00
2021-03-30,18:30,1,3,Vasai,Virar,63,39,High,No,17:30
2022-02-11,18:45,4,2,Thane,Kurla,83,64,High,Yes,17:45
2020-12-17,10:30,3,12,Thane,Kurla,66,31,Very High,No,09:30
2020-01-13,21:15,0,1,Kandivali,Goregaon,20,6,Medium,No,21:15
2021-04-22,16:45,3,4,Andheri,BKC,44,20,Medium,No,16:45
2021-10-30,11:15,5,10,Dadar,Nariman Point,34,9,Low,No,11:15
2021-09-21,05:15,1,9,Andheri,BKC,31,13,Medium,Yes,05:15
2021-01-19,04:45,1,1,Powai,Andheri,19,1,Low,No,04:45
2020-06-25,15:15,3,6,Dadar,Nariman Point,49,18,Low,Yes,15:15
2021-07-09,17:15,4,7,Navi Mumbai,CST,96,30,Very High,No,16:15
2022-05-05,07:15,3,5,Malad,Lower Parel,20,6,Low,No,07:15
2022-01-26,18:30,2,1,Borivali,Churchgate,74,49,High,No,17:30
2020-12-27,08:45,6,12,Borivali,Churchgate,71,16,Low,No,08:45
2021-03-20,17:45,5,3,Powai,Andheri,46,19,Low,No,17:45
2022-07-15,06:45,4,7,Bandra,Worli,23,11,Medium,No,06:45
2020-06-29,14:00,0,6,Malad,Lower Parel,24,9,Medium,No,14:00
2021-09-10,12:15,4,9,Thane,Kurla,40,20,Medium,No,12:15
2021-08-10,01:00,1,8,Vasai,Virar,23,4,Low,No,01:00
2020-04-24,15:30,4,4,Thane,Kurla,32,13,Low,No,15:30
2022-09-09,08:45,4,9,Andheri,BKC,86,44,High,No,07:45
2022-05-18,11:45,2,5,Andheri,BKC,33,20,Low,No,11:45
2020-09-27,13:00,6,9,Bandra,Worli,45,9,Medium,Yes,13:00
2021-06-23,04:45,2,6,Bandra,Worli,16,1,Low,No,04:45
2022-07-11,02:45,0,7,Kandivali,Goregaon,19,2,Low,No,02:45
2022-03-31,08:45,3,3,Dadar,Nariman Point,51,39,High,No,07:45
2021-08-08,01:45,6,8,Vasai,Virar,19,3,Low,No,01:45
2021-08-25,16:15,2,8,Dadar,Nariman Point,58,16,Low,Yes,16:15
2020-03-06,16:45,4,3,Powai,Andheri,50,10,Medium,No,16:45
2021-11-25,13:45,3,11,Dadar,Nariman Point,22,20,Medium,No,13:45
2021-11-06,17:00,5,11,Bandra,Worli,47,20,Low,No,17:00
2022-09-26,13:00,0,9,Andheri,BKC,32,16,Medium,Yes,13:00
2020-12-30,22:00,2,12,Thane,Kurla,43,11,Low,No,22:00
2020-08-20,05:15,3,8,Thane,Kurla,45,17,Medium,No,05:15
2020-01-19,06:15,6,1,Powai,Andheri,34,6,Low,No,06:15
2021-08-07,06:30,5,8,Malad,Lower Parel,32,7,Medium,No,06:30
2021-03-12,23:30,4,3,Dadar,Nariman Point,22,12,Medium,No,23:30
2021-01-20,11:15,2,1,Vasai,Virar,23,7,Low,No,11:15
2020-08-14,06:00,4,8,Thane,Kurla,57,13,Medium,Yes,06:00
2021-06-16,15:00,2,6,Navi Mumbai,CST,58,25,Low,Yes,15:00
