parking_lot_name,area,total_capacity,occupied_spots,available_spots,occupancy_percentage,date,time,latitude,longitude,price_per_hour,status
Oberoi Mall Parking,Goregaon,600,568,32,94.8,2020-10-26,11:15,19.155006785703282,72.84883974382628,20,Available
Phoenix Palladium Parking,Lower Parel,800,792,8,99.0,2021-01-24,17:45,18.993685742280004,72.82610551014251,40,Limited
BKC Parking Complex,BKC,500,383,117,76.8,2021-01-22,14:30,19.059313689684004,72.86478639814332,20,Available
R City Mall Parking,Ghatkopar,550,269,281,48.9,2021-08-31,21:00,19.085039331669023,72.9074594334448,80,Available
Infiniti Mall Parking,Andheri,450,437,13,97.3,2022-01-23,11:00,19.13668810010318,72.82926070696735,50,Available
Dadar Station Parking,Dadar,250,13,237,5.4,2020-08-19,04:30,19.01727990587767,72.84815867612018,80,Available
Phoenix Palladium Parking,Lower Parel,800,696,104,87.1,2021-05-10,14:00,18.993811613069838,72.82634351096287,40,Available
Dadar Station Parking,Dadar,250,147,103,59.0,2020-07-14,22:30,19.018345101683718,72.84818803901165,80,Available
Thane Station Parking,Thane,300,164,136,54.9,2021-11-11,21:30,19.186493152303516,72.97076030375194,40,Available
Andheri Metro Parking,Andheri,200,168,32,84.0,2021-06-13,10:15,19.120399298581454,72.84732996254372,50,Available
Thane Station Parking,Thane,300,26,274,8.7,2020-07-10,00:30,19.185519583310167,72.97023732500807,40,Available
R City Mall Parking,Ghatkopar,550,447,103,81.4,2021-10-08,18:00,19.085710482454658,72.90760916403579,80,Available
Dadar Station Parking,Dadar,250,246,4,98.5,2020-03-26,19:45,19.017331885579146,72.84846265499361,60,Limited
BKC Parking Complex,BKC,500,283,217,56.6,2021-01-06,23:45,19.0605959576515,72.86557952666958,30,Available
Andheri Metro Parking,Andheri,200,104,96,52.1,2021-02-02,07:45,19.119933859575426,72.84711917872033,50,Available
Infiniti Mall Parking,Andheri,450,438,12,97.5,2020-09-29,17:15,19.136513681689895,72.83009619142508,20,Available
Phoenix Palladium Parking,Lower Parel,800,629,171,78.7,2022-05-08,12:00,18.993885480854367,72.82682430680522,20,Available
Inorbit Mall Parking,Malad,700,505,195,72.2,2021-09-15,11:45,19.173019085580105,72.8469213037759,80,Available
Andheri Metro Parking,Andheri,200,25,175,12.8,2022-05-10,00:45,19.120578949292558,72.84778227045607,30,Available
Dadar Station Parking,Dadar,250,144,106,58.0,2021-06-19,22:00,19.01874003862382,72.84787153144758,40,Available
Infiniti Mall Parking,Andheri,450,408,42,90.8,2020-03-13,10:45,19.13746717264172,72.83036620079645,30,Available
Infiniti Mall Parking,Andheri,450,155,295,34.5,2021-09-15,16:45,19.137122611204877,72.83013719476403,30,Available
Seawoods Grand Central,Navi Mumbai,400,123,277,30.9,2022-05-16,08:00,19.01915763413388,73.01717707567742,30,Available
Thane Station Parking,Thane,300,242,58,80.9,2022-05-07,13:30,19.18576475802302,72.97100411130835,30,Available
BKC Parking Complex,BKC,500,437,63,87.6,2022-07-26,17:15,19.059160640870093,72.86501817516714,50,Available
Thane Station Parking,Thane,300,211,89,70.6,2022-07-22,12:45,19.1865183238059,72.96982898313044,80,Available
Seawoods Grand Central,Navi Mumbai,400,53,347,13.5,2020-10-09,03:45,19.018884414022924,73.01649534462445,60,Available
Andheri Metro Parking,Andheri,200,183,17,91.9,2021-09-19,20:15,19.11987020050053,72.84712322550617,80,Available
Andheri Metro Parking,Andheri,200,13,187,6.7,2021-09-13,00:45,19.119693667316145,72.84692804925591,40,Available
R City Mall Parking,Ghatkopar,550,517,33,94.1,2020-12-17,17:00,19.085262120885453,72.90807264820317,60,Available
Andheri Metro Parking,Andheri,200,127,73,63.5,2021-01-03,23:00,19.12033342657942,72.84860517946547,40,Available
Oberoi Mall Parking,Goregaon,600,504,96,84.0,2021-09-03,14:00,19.155312287935654,72.84859110396023,20,Available
Andheri Metro Parking,Andheri,200,11,189,5.6,2022-08-27,04:30,19.11878438419003,72.84711142700534,60,Available
Inorbit Mall Parking,Malad,700,534,166,76.3,2021-09-01,19:30,19.171998991509316,72.84726691190117,40,Available
Andheri Metro Parking,Andheri,200,70,130,35.1,2020-12-31,21:30,19.119329316549774,72.84757526184782,30,Available
Infiniti Mall Parking,Andheri,450,66,384,14.8,2022-04-21,04:00,19.13613075827232,72.82998389797264,60,Available
Andheri Metro Parking,Andheri,200,178,22,89.2,2021-06-13,19:30,19.119152210378516,72.84802049170128,80,Available
Inorbit Mall Parking,Malad,700,472,228,67.5,2021-11-14,09:30,19.17154683902536,72.84773615775931,60,Available
Oberoi Mall Parking,Goregaon,600,481,119,80.2,2020-10-24,11:15,19.153580797924246,72.84878346323396,40,Available
Oberoi Mall Parking,Goregaon,600,527,73,87.9,2020-12-12,18:45,19.153431639776166,72.84861493086568,20,Available
Andheri Metro Parking,Andheri,200,84,116,42.2,2021-07-21,06:45,19.119671165921087,72.84752521856035,40,Available
Seawoods Grand Central,Navi Mumbai,400,239,161,59.8,2022-08-06,06:30,19.019827492255068,73.0167849376238,60,Available
R City Mall Parking,Ghatkopar,550,392,158,71.4,2022-07-30,16:45,19.08538561502038,72.90715273972312,60,Available
Seawoods Grand Central,Navi Mumbai,400,52,348,13.2,2022-02-21,03:00,19.018653378860527,73.01684205336865,80,Available
Andheri Metro Parking,Andheri,200,95,105,47.9,2022-04-14,21:45,19.11951225202053,72.84776903042267,20,Available
Phoenix Palladium Parking,Lower Parel,800,737,63,92.2,2022-04-05,10:45,18.99412294014896,72.82607568651869,80,Available
Thane Station Parking,Thane,300,186,114,62.3,2020-01-10,06:30,19.18701075686827,72.97050781115679,40,Available
Phoenix Palladium Parking,Lower Parel,800,74,726,9.4,2021-10-17,03:00,18.992657699683562,72.82736374546418,50,Available
Andheri Metro Parking,Andheri,200,64,136,32.4,2020-08-10,22:00,19.119392205971085,72.84867262468701,60,Available
Oberoi Mall Parking,Goregaon,600,67,533,11.3,2020-03-03,01:15,19.155126723884774,72.84863392461898,20,Available
Andheri Metro Parking,Andheri,200,17,183,8.7,2022-05-27,02:15,19.119129515495352,72.84854157153437,80,Available
Dadar Station Parking,Dadar,250,103,147,41.5,2021-08-20,08:30,19.016977922656324,72.84760043635288,80,Available
R City Mall Parking,Ghatkopar,550,32,518,6.0,2021-04-21,02:45,19.08463852700893,72.90829925670644,60,Available
Dadar Station Parking,Dadar,250,247,3,99.0,2021-11-20,12:15,19.017550441410638,72.8480203379514,30,Limited
Thane Station Parking,Thane,300,233,67,77.7,2022-03-07,12:45,19.18677154874684,72.97043061643382,30,Available
Andheri Metro Parking,Andheri,200,167,33,84.0,2021-12-10,11:30,19.118952119569897,72.84691587708049,20,Available
Oberoi Mall Parking,Goregaon,600,318,282,53.1,2020-11-24,08:45,19.153414730154438,72.84961821739503,80,Available
Oberoi Mall Parking,Goregaon,600,40,560,6.7,2021-02-08,04:45,19.154446616751287,72.84968729279205,30,Available
Phoenix Palladium Parking,Lower Parel,800,338,462,42.4,2022-08-26,09:45,18.993981168141598,72.8269786432044,20,Available
R City Mall Parking,Ghatkopar,550,424,126,77.2,2021-10-15,10:15,19.086270179249787,72.9090877342461,30,Available
Seawoods Grand Central,Navi Mumbai,400,123,277,30.9,2021-06-02,06:15,19.02014287270564,73.0175732811554,80,Available
R City Mall Parking,Ghatkopar,550,209,341,38.1,2022-04-22,23:45,19.085627454476768,72.907555392364,60,Available
Seawoods Grand Central,Navi Mumbai,400,350,50,87.7,2021-09-08,12:00,19.01881037388205,73.0172544244956,60,Available
Inorbit Mall Parking,Malad,700,636,64,90.9,2022-01-07,11:15,19.171640410873888,72.84739408709027,30,Available
Infiniti Mall Parking,Andheri,450,380,70,84.6,2021-06-13,12:45,19.13591325869405,72.8297843739488,60,Available
BKC Parking Complex,BKC,500,404,96,80.9,2020-06-01,15:45,19.058920210615657,72.86455839623153,60,Available
Seawoods Grand Central,Navi Mumbai,400,39,361,9.9,2020-06-11,01:15,19.020377992797407,73.01651455563908,60,Available
Oberoi Mall Parking,Goregaon,600,271,329,45.2,2021-07-09,06:00,19.15407097926383,72.84924795833653,30,Available
Phoenix Palladium Parking,Lower Parel,800,662,138,82.8,2021-12-14,20:30,18.993573978826042,72.82612707526125,60,Available
Seawoods Grand Central,Navi Mumbai,400,262,138,65.7,2021-03-15,15:15,19.019332576472454,73.01682383836663,50,Available
Seawoods Grand Central,Navi Mumbai,400,307,93,76.8,2021-02-19,13:45,19.019476911719092,73.01773875248996,80,Available
BKC Parking Complex,BKC,500,376,124,75.2,2021-06-30,17:15,19.0596050816427,72.86552857872789,80,Available
Seawoods Grand Central,Navi Mumbai,400,25,375,6.5,2022-04-20,05:00,19.018726847452484,73.017266693343,50,Available
Infiniti Mall Parking,Andheri,450,328,122,73.0,2020-07-31,14:30,19.13656944297039,72.83051925923836,30,Available
Andheri Metro Parking,Andheri,200,86,114,43.4,2020-02-13,21:00,19.119513771025566,72.84740933230283,50,Available
Dadar Station Parking,Dadar,250,237,13,95.0,2021-02-15,20:45,19.017781257215923,72.8469567662147,40,Available
Dadar Station Parking,Dadar,250,230,20,92.1,2022-04-12,12:15,19.018627617039993,72.84738174005,60,Available
Seawoods Grand Central,Navi Mumbai,400,171,229,43.0,2021-05-28,08:00,19.018740715949658,73.01608038515464,50,Available
BKC Parking Complex,BKC,500,495,5,99.0,2020-12-20,13:00,19.058980086423475,72.86622584568953,60,Limited
Phoenix Palladium Parking,Lower Parel,800,27,773,3.4,2022-03-30,01:00,18.994101573982885,72.82559996836098,40,Available
Infiniti Mall Parking,Andheri,450,388,62,86.4,2021-12-09,11:00,19.136840779845997,72.82922086495076,20,Available
Thane Station Parking,Thane,300,189,111,63.3,2022-08-14,22:00,19.18655782630518,72.97143235197791,30,Available
R City Mall Parking,Ghatkopar,550,453,97,82.4,2022-03-29,10:45,19.08534622857724,72.90731267103818,60,Available
Dadar Station Parking,Dadar,250,124,126,49.8,2020-08-21,09:45,19.018358118446752,72.8474225927544,80,Available
Oberoi Mall Parking,Goregaon,600,200,400,33.4,2020-01-08,22:15,19.153921632838518,72.84961073460384,50,Available
Seawoods Grand Central,Navi Mumbai,400,300,100,75.1,2020-06-22,12:30,19.02036974076423,73.01709433606959,60,Available
Infiniti Mall Parking,Andheri,450,295,155,65.6,2021-03-15,14:45,19.136607866884344,72.82935993866303,50,Available
Inorbit Mall Parking,Malad,700,338,362,48.4,2021-09-02,06:15,19.172510371616113,72.8471001947719,80,Available
BKC Parking Complex,BKC,500,495,5,99.0,2020-12-27,12:30,19.059912026149387,72.86526685651788,80,Limited
Dadar Station Parking,Dadar,250,133,117,53.3,2020-01-17,16:45,19.018626191393228,72.84731552926921,80,Available
BKC Parking Complex,BKC,500,203,297,40.7,2020-08-06,08:45,19.059461527150408,72.86526633905497,40,Available
Oberoi Mall Parking,Goregaon,600,16,584,2.7,2020-04-06,01:00,19.15393147450499,72.84945316090798,80,Available
R City Mall Parking,Ghatkopar,550,377,173,68.7,2021-09-19,23:00,19.08543619666866,72.90841926070038,50,Available
BKC Parking Complex,BKC,500,423,77,84.7,2020-05-19,19:00,19.06021493166586,72.866364092144,80,Available
Seawoods Grand Central,Navi Mumbai,400,377,23,94.3,2020-02-25,18:30,19.02043845611134,73.01638135211316,30,Available
Dadar Station Parking,Dadar,250,96,154,38.5,2022-01-11,09:30,19.017781942214707,72.84696903554806,50,Available
R City Mall Parking,Ghatkopar,550,466,84,84.8,2021-01-21,14:30,19.085849015685213,72.90809833975791,60,Available
Phoenix Palladium Parking,Lower Parel,800,664,136,83.0,2022-06-21,19:30,18.99389625012145,72.82724640705177,60,Available
Thane Station Parking,Thane,300,295,5,98.6,2021-07-17,13:15,19.18722115078442,72.96965927756153,30,Limited
Phoenix Palladium Parking,Lower Parel,800,43,757,5.5,2021-12-25,05:45,18.99448561738837,72.82609917760809,80,Available
Infiniti Mall Parking,Andheri,450,60,390,13.5,2021-01-18,02:30,19.13638150286911,72.82866254070106,20,Available
Dadar Station Parking,Dadar,250,190,60,76.3,2020-12-10,13:30,19.01871090944067,72.84710917717487,60,Available
Dadar Station Parking,Dadar,250,17,233,7.1,2020-12-23,05:00,19.017253575988818,72.84772041274383,40,Available
Seawoods Grand Central,Navi Mumbai,400,325,75,81.4,2022-02-11,18:45,19.020420928634067,73.0168757510947,80,Available
BKC Parking Complex,BKC,500,365,135,73.1,2021-01-03,06:30,19.059367914535592,72.86636956715698,60,Available
Andheri Metro Parking,Andheri,200,170,30,85.1,2020-01-13,20:00,19.118866986334165,72.8471605042215,60,Available
BKC Parking Complex,BKC,500,236,264,47.2,2020-08-19,07:45,19.060002810847077,72.86572707218693,20,Available
BKC Parking Complex,BKC,500,412,88,82.4,2020-07-21,17:45,19.058958057499982,72.86460621875514,20,Available
Inorbit Mall Parking,Malad,700,570,130,81.6,2022-07-29,10:30,19.171806090142958,72.84691932964685,40,Available
Andheri Metro Parking,Andheri,200,17,183,8.6,2021-04-13,04:30,19.119359811146076,72.84736126433545,50,Available
Inorbit Mall Parking,Malad,700,657,43,94.0,2020-06-23,19:45,19.17312707627407,72.84810462610882,20,Available
Oberoi Mall Parking,Goregaon,600,347,253,58.0,2020-08-12,23:15,19.15537425500945,72.84868624101742,50,Available
Andheri Metro Parking,Andheri,200,100,100,50.3,2022-04-12,08:30,19.118690271394833,72.84782396189375,50,Available
Seawoods Grand Central,Navi Mumbai,400,147,253,36.9,2020-12-21,23:30,19.019808964483794,73.01726770480415,50,Available
Inorbit Mall Parking,Malad,700,57,643,8.2,2021-12-22,05:30,19.172230154861303,72.84851685875076,30,Available
Phoenix Palladium Parking,Lower Parel,800,36,764,4.5,2020-01-09,04:00,18.992596256390527,72.82706950244385,80,Available
R City Mall Parking,Ghatkopar,550,435,115,79.2,2020-07-08,17:15,19.085155011602406,72.90733354394185,50,Available
Inorbit Mall Parking,Malad,700,115,585,16.6,2022-05-14,05:45,19.17306534297726,72.84840797610448,60,Available
BKC Parking Complex,BKC,500,407,93,81.4,2021-03-05,20:00,19.059560971294204,72.86619789579888,60,Available
Inorbit Mall Parking,Malad,700,241,459,34.5,2020-07-27,06:15,19.172044130480735,72.84801640249118,50,Available
Seawoods Grand Central,Navi Mumbai,400,243,157,60.9,2021-05-18,22:45,19.019786534602876,73.01650802748308,40,Available
Seawoods Grand Central,Navi Mumbai,400,285,115,71.3,2020-09-28,15:00,19.018983010577973,73.01762408918322,60,Available
Inorbit Mall Parking,Malad,700,575,125,82.2,2021-07-18,10:15,19.173219351699803,72.84721932719513,20,Available
Andheri Metro Parking,Andheri,200,143,57,71.8,2022-06-17,15:30,19.119064324568644,72.84694813078791,60,Available
Seawoods Grand Central,Navi Mumbai,400,128,272,32.2,2021-11-12,23:15,19.020351908888802,73.01695459721655,30,Available
Phoenix Palladium Parking,Lower Parel,800,22,778,2.9,2021-02-01,02:30,18.993573874605605,72.82552467641935,30,Available
Thane Station Parking,Thane,300,190,110,63.6,2022-03-27,16:15,19.186947115193412,72.97096287789186,60,Available
Oberoi Mall Parking,Goregaon,600,25,575,4.2,2021-10-21,05:30,19.154706772151286,72.8486436892967,60,Available
Seawoods Grand Central,Navi Mumbai,400,191,209,47.9,2022-05-05,16:45,19.01944992388667,73.01666220151174,80,Available
Oberoi Mall Parking,Goregaon,600,497,103,83.0,2021-04-06,18:15,19.15431910320695,72.84960901231028,20,Available
Andheri Metro Parking,Andheri,200,156,44,78.2,2022-01-12,12:15,19.120599672094997,72.84822177662818,60,Available
Inorbit Mall Parking,Malad,700,293,407,41.9,2022-04-22,09:45,19.17312622106024,72.84762398662025,50,Available
Thane Station Parking,Thane,300,223,77,74.6,2022-01-06,10:15,19.186822826719432,72.97065603511399,60,Available
Dadar Station Parking,Dadar,250,185,65,74.2,2020-01-29,10:00,19.017145613809408,72.8473834788942,40,Available
Infiniti Mall Parking,Andheri,450,367,83,81.7,2021-06-03,11:00,19.136723589326593,72.83040733046823,80,Available
Infiniti Mall Parking,Andheri,450,283,167,63.1,2020-02-23,21:30,19.136313924573543,72.8288224383987,20,Available
Phoenix Palladium Parking,Lower Parel,800,666,134,83.3,2022-05-28,15:15,18.99408942999221,72.82726725981486,40,Available
Thane Station Parking,Thane,300,142,158,47.6,2020-11-26,21:30,19.18537154716656,72.97130273838113,40,Available
Seawoods Grand Central,Navi Mumbai,400,171,229,42.9,2020-05-08,07:00,19.019174031891943,73.01716130108473,30,Available
Dadar Station Parking,Dadar,250,8,242,3.3,2022-02-27,02:30,19.017439373257353,72.84794242852124,30,Available
Andheri Metro Parking,Andheri,200,152,48,76.4,2021-07-07,13:15,19.11944486175052,72.84851741529431,50,Available
Oberoi Mall Parking,Goregaon,600,252,348,42.1,2020-08-09,21:30,19.15417235299863,72.84999239676979,40,Available
Thane Station Parking,Thane,300,245,55,81.8,2022-05-22,10:00,19.18530285497726,72.96970484011187,60,Available
Infiniti Mall Parking,Andheri,450,241,209,53.6,2020-04-19,16:45,19.13612776311118,72.82943420256402,20,Available
Inorbit Mall Parking,Malad,700,398,302,56.9,2022-06-05,08:45,19.17152930369247,72.84843471988191,50,Available
Seawoods Grand Central,Navi Mumbai,400,387,13,96.8,2021-02-26,20:15,19.02000137409158,73.01643591347124,20,Available
Andheri Metro Parking,Andheri,200,170,30,85.0,2021-11-04,12:30,19.120487445841185,72.84690408325892,50,Available
Andheri Metro Parking,Andheri,200,185,15,92.6,2021-06-17,20:00,19.119948532199015,72.84748463475172,80,Available
Andheri Metro Parking,Andheri,200,116,84,58.3,2020-01-23,09:00,19.11897135065823,72.84697728914627,20,Available
Dadar Station Parking,Dadar,250,122,128,48.9,2022-04-19,21:00,19.017187027491136,72.84845804770508,30,Available
Infiniti Mall Parking,Andheri,450,60,390,13.4,2020-07-06,02:30,19.13566950289806,72.83047092600098,50,Available
BKC Parking Complex,BKC,500,398,102,79.6,2020-05-22,19:45,19.05947813097172,72.86526010208232,50,Available
Oberoi Mall Parking,Goregaon,600,570,30,95.1,2020-10-19,17:15,19.15450229617259,72.84991862442114,80,Available
Thane Station Parking,Thane,300,140,160,46.8,2021-09-20,16:15,19.18670945830881,72.97059252639583,60,Available
BKC Parking Complex,BKC,500,443,57,88.7,2022-07-06,17:15,19.059720424894863,72.86507109155116,20,Available
