holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,road_name
None,296.03,0.0,0.0,29,Clear,sky is clear,2020-01-02 02:00:00,538,Western Express Highway
None,296.28,0.0,0.0,27,Haze,haze,2020-01-02 03:00:00,790,NH-48 Mumbai-Pune
None,297.89,0.0,0.0,24,Haze,haze,2020-01-02 04:00:00,562,Link Road
None,297.69,0.0,0.0,86,Clear,sky is clear,2020-01-02 05:00:00,1624,Eastern Express Highway
None,297.61,0.0,0.0,31,Clear,sky is clear,2020-01-02 06:00:00,2418,Ghodbunder Road
None,296.56,0.0,0.0,31,Haze,haze,2020-01-02 07:00:00,2407,Eastern Express Highway
None,299.23,0.0,0.0,6,Clear,sky is clear,2020-01-02 08:00:00,4560,Ghodbunder Road
None,299.88,0.0,0.0,21,Clouds,broken clouds,2020-01-02 09:00:00,5375,Jogeshwari-Vikhroli Link Road
None,299.46,0.0,0.0,48,Clouds,broken clouds,2020-01-02 10:00:00,5586,Link Road
None,299.71,0.0,0.0,54,Clouds,overcast clouds,2020-01-02 11:00:00,2855,Ghodbunder Road
Eid,298.87,0.0,0.0,27,Clouds,overcast clouds,2020-01-02 12:00:00,1503,NH-48 Mumbai-Pune
None,298.17,0.0,0.0,6,Clear,sky is clear,2020-01-02 13:00:00,3382,Ghodbunder Road
None,299.41,0.0,0.0,10,Mist,mist,2020-01-02 14:00:00,2718,Eastern Express Highway
Independence Day,296.27,0.0,0.0,15,Haze,haze,2020-01-02 15:00:00,1002,NH-48 Mumbai-Pune
None,298.32,1.64,0.0,74,Thunderstorm,thunderstorm with rain,2020-01-02 16:00:00,3414,SV Road
None,297.04,0.0,0.0,30,Clouds,overcast clouds,2020-01-02 17:00:00,6228,LBS Marg
None,297.83,0.0,0.0,1,Clear,sky is clear,2020-01-02 18:00:00,5409,NH-48 Mumbai-Pune
Holi,296.29,0.0,0.0,16,Clouds,overcast clouds,2020-01-02 19:00:00,3000,Eastern Express Highway
None,297.48,0.0,0.0,90,Mist,mist,2020-01-02 20:00:00,5032,Ghodbunder Road
None,298.67,0.0,0.0,17,Clear,sky is clear,2020-01-02 21:00:00,3020,Eastern Express Highway
None,298.21,0.0,0.0,26,Mist,mist,2020-01-02 22:00:00,2907,Sion-Panvel Highway
None,298.54,0.0,0.0,32,Haze,haze,2020-01-02 23:00:00,1689,Western Express Highway
None,298.54,0.0,0.0,0,Clear,sky is clear,2020-01-03 00:00:00,468,LBS Marg
None,296.65,0.0,0.0,71,Haze,haze,2020-01-03 01:00:00,352,Eastern Express Highway
None,298.18,0.0,0.0,70,Mist,mist,2020-01-03 02:00:00,242,LBS Marg
None,297.23,0.0,0.0,45,Clear,sky is clear,2020-01-03 03:00:00,305,Sion-Panvel Highway
None,297.41,0.0,0.0,79,Haze,haze,2020-01-03 04:00:00,366,Sion-Panvel Highway
None,299.9,0.0,0.0,3,Haze,haze,2020-01-03 05:00:00,3102,SV Road
None,299.72,0.0,0.0,34,Clouds,broken clouds,2020-01-03 06:00:00,2283,Eastern Express Highway
None,299.49,0.0,0.0,25,Clouds,broken clouds,2020-01-03 07:00:00,2216,Jogeshwari-Vikhroli Link Road
None,297.22,0.0,0.0,28,Clouds,broken clouds,2020-01-03 08:00:00,6132,Sion-Panvel Highway
None,297.31,0.0,0.0,44,Clouds,overcast clouds,2020-01-03 09:00:00,6696,Link Road
None,297.32,17.54,0.0,22,Rain,moderate rain,2020-01-03 10:00:00,2793,Andheri-Kurla Road
None,296.43,0.0,0.0,55,Clouds,overcast clouds,2020-01-03 11:00:00,1736,Ghodbunder Road
None,297.54,0.0,0.0,5,Clouds,overcast clouds,2020-01-03 12:00:00,2564,Western Express Highway
None,299.7,0.0,0.0,46,Clouds,broken clouds,2020-01-03 13:00:00,2776,SV Road
None,297.26,0.0,0.0,64,Clouds,overcast clouds,2020-01-03 14:00:00,2168,Link Road
None,297.61,0.0,0.0,24,Clouds,broken clouds,2020-01-03 15:00:00,2887,Link Road
None,298.99,0.0,0.0,38,Mist,mist,2020-01-03 16:00:00,2122,Western Express Highway
None,297.15,0.0,0.0,77,Mist,mist,2020-01-03 17:00:00,6809,Jogeshwari-Vikhroli Link Road
None,297.77,0.0,0.0,94,Haze,haze,2020-01-03 18:00:00,6162,Eastern Express Highway
None,298.06,0.0,0.0,11,Clouds,overcast clouds,2020-01-03 19:00:00,6271,Sion-Panvel Highway
None,296.9,0.0,0.0,5,Clear,sky is clear,2020-01-03 20:00:00,5298,Jogeshwari-Vikhroli Link Road
None,297.82,0.0,0.0,24,Mist,mist,2020-01-03 21:00:00,2512,Link Road
None,297.6,0.0,0.0,96,Clear,sky is clear,2020-01-03 22:00:00,3094,Eastern Express Highway
None,297.7,0.0,0.0,59,Mist,mist,2020-01-03 23:00:00,3378,Sion-Panvel Highway
None,299.39,0.0,0.0,85,Haze,haze,2020-01-04 00:00:00,404,Ghodbunder Road
None,297.27,0.0,0.0,78,Haze,haze,2020-01-04 01:00:00,318,Ghodbunder Road
None,299.32,0.0,0.0,95,Clouds,broken clouds,2020-01-04 02:00:00,232,Jogeshwari-Vikhroli Link Road
None,299.01,0.0,0.0,98,Clouds,overcast clouds,2020-01-04 03:00:00,420,Jogeshwari-Vikhroli Link Road
None,296.96,0.0,0.0,30,Clouds,overcast clouds,2020-01-04 04:00:00,2828,SV Road
None,298.16,0.0,0.0,49,Clouds,broken clouds,2020-01-04 05:00:00,1131,Sion-Panvel Highway
None,297.66,0.0,0.0,53,Haze,haze,2020-01-04 06:00:00,1797,Link Road
None,299.62,0.0,0.0,97,Clear,sky is clear,2020-01-04 07:00:00,1012,Jogeshwari-Vikhroli Link Road
None,299.77,0.0,0.0,53,Haze,haze,2020-01-04 08:00:00,2638,Ghodbunder Road
None,298.41,0.0,0.0,34,Clouds,broken clouds,2020-01-04 09:00:00,1796,Western Express Highway
None,297.34,0.0,0.0,92,Haze,haze,2020-01-04 10:00:00,2883,Jogeshwari-Vikhroli Link Road
None,296.51,0.0,0.0,50,Clear,sky is clear,2020-01-04 11:00:00,3171,Western Express Highway
None,298.57,0.0,0.0,23,Haze,haze,2020-01-04 12:00:00,3670,Link Road
None,296.85,0.0,0.0,35,Haze,haze,2020-01-04 13:00:00,3516,Link Road
Dussehra,299.34,0.0,0.0,6,Mist,mist,2020-01-04 14:00:00,1729,SV Road
None,298.6,0.0,0.0,96,Clear,sky is clear,2020-01-04 15:00:00,1408,Sion-Panvel Highway
None,299.36,0.0,0.0,16,Clouds,broken clouds,2020-01-04 16:00:00,2155,Eastern Express Highway
None,299.79,0.0,0.0,98,Clouds,overcast clouds,2020-01-04 17:00:00,2243,NH-48 Mumbai-Pune
None,299.85,0.0,0.0,39,Clouds,broken clouds,2020-01-04 18:00:00,2902,Western Express Highway
Independence Day,297.25,0.0,0.0,50,Haze,haze,2020-01-04 19:00:00,577,Sion-Panvel Highway
None,298.37,0.0,0.0,13,Clouds,broken clouds,2020-01-04 20:00:00,2741,Andheri-Kurla Road
None,298.74,0.0,0.0,100,Mist,mist,2020-01-04 21:00:00,1877,Ghodbunder Road
None,298.65,0.0,0.0,1,Clouds,overcast clouds,2020-01-04 22:00:00,1216,Jogeshwari-Vikhroli Link Road
None,297.73,0.0,0.0,90,Haze,haze,2020-01-04 23:00:00,2502,LBS Marg
None,298.09,0.0,0.0,68,Mist,mist,2020-01-05 00:00:00,323,Jogeshwari-Vikhroli Link Road
None,299.3,0.0,0.0,31,Clouds,overcast clouds,2020-01-05 01:00:00,242,Eastern Express Highway
None,299.53,0.0,0.0,72,Haze,haze,2020-01-05 02:00:00,272,Link Road
None,296.11,0.0,0.0,62,Clouds,broken clouds,2020-01-05 03:00:00,274,Andheri-Kurla Road
None,297.12,0.0,0.0,71,Clouds,overcast clouds,2020-01-05 04:00:00,1175,Sion-Panvel Highway
None,296.97,0.0,0.0,97,Mist,mist,2020-01-05 05:00:00,2322,Jogeshwari-Vikhroli Link Road
None,298.85,0.0,0.0,11,Clear,sky is clear,2020-01-05 06:00:00,2416,Link Road
None,296.97,0.0,0.0,60,Clouds,overcast clouds,2020-01-05 07:00:00,1871,SV Road
None,299.99,0.0,0.0,89,Clouds,overcast clouds,2020-01-05 08:00:00,1514,Andheri-Kurla Road
None,296.92,0.0,0.0,15,Clouds,overcast clouds,2020-01-05 09:00:00,1392,LBS Marg
None,296.87,0.0,0.0,97,Mist,mist,2020-01-05 10:00:00,1205,Andheri-Kurla Road
None,299.33,0.0,0.0,22,Clouds,overcast clouds,2020-01-05 11:00:00,3259,Ghodbunder Road
None,297.1,0.0,0.0,37,Mist,mist,2020-01-05 12:00:00,4306,LBS Marg
None,299.47,0.0,0.0,73,Clear,sky is clear,2020-01-05 13:00:00,3902,Jogeshwari-Vikhroli Link Road
None,297.36,0.0,0.0,61,Clouds,overcast clouds,2020-01-05 14:00:00,3820,Eastern Express Highway
None,297.97,0.0,0.0,19,Clear,sky is clear,2020-01-05 15:00:00,2943,NH-48 Mumbai-Pune
None,297.22,0.0,0.0,71,Clear,sky is clear,2020-01-05 16:00:00,2220,NH-48 Mumbai-Pune
None,299.16,0.0,0.0,48,Mist,mist,2020-01-05 17:00:00,1608,Jogeshwari-Vikhroli Link Road
None,299.44,0.0,0.0,72,Clouds,overcast clouds,2020-01-05 18:00:00,2966,NH-48 Mumbai-Pune
None,298.96,0.0,0.0,80,Clouds,broken clouds,2020-01-05 19:00:00,1321,Eastern Express Highway
None,296.96,0.0,0.0,0,Clouds,broken clouds,2020-01-05 20:00:00,1962,NH-48 Mumbai-Pune
None,297.17,0.0,0.0,89,Clouds,overcast clouds,2020-01-05 21:00:00,2407,Eastern Express Highway
None,296.93,0.0,0.0,84,Mist,mist,2020-01-05 22:00:00,1870,Sion-Panvel Highway
None,296.46,0.0,0.0,34,Clouds,broken clouds,2020-01-05 23:00:00,1122,Eastern Express Highway
None,296.66,0.0,0.0,36,Mist,mist,2020-01-06 00:00:00,511,Jogeshwari-Vikhroli Link Road
None,298.8,0.0,0.0,69,Mist,mist,2020-01-06 01:00:00,240,Eastern Express Highway
None,299.56,0.0,0.0,32,Mist,mist,2020-01-06 02:00:00,789,Sion-Panvel Highway
None,298.35,15.3,0.0,73,Rain,moderate rain,2020-01-06 03:00:00,408,LBS Marg
Dussehra,298.08,0.0,0.0,23,Clouds,overcast clouds,2020-01-06 04:00:00,351,Link Road
None,299.88,0.0,0.0,42,Haze,haze,2020-01-06 05:00:00,3256,Eastern Express Highway
None,296.64,0.0,0.0,36,Haze,haze,2020-01-06 06:00:00,3166,Link Road
None,299.04,1.76,0.0,41,Rain,moderate rain,2020-01-06 07:00:00,3271,Link Road
None,298.06,0.0,0.0,59,Mist,mist,2020-01-06 08:00:00,6623,Sion-Panvel Highway
None,297.45,0.0,0.0,97,Haze,haze,2020-01-06 09:00:00,6749,Andheri-Kurla Road
None,296.52,0.0,0.0,15,Haze,haze,2020-01-06 10:00:00,5480,NH-48 Mumbai-Pune
None,298.84,0.0,0.0,70,Clear,sky is clear,2020-01-06 11:00:00,3223,Sion-Panvel Highway
None,299.65,0.0,0.0,82,Clear,sky is clear,2020-01-06 12:00:00,3410,Jogeshwari-Vikhroli Link Road
None,298.87,0.0,0.0,53,Clouds,overcast clouds,2020-01-06 13:00:00,1999,Jogeshwari-Vikhroli Link Road
None,297.83,0.0,0.0,76,Clouds,broken clouds,2020-01-06 14:00:00,3269,LBS Marg
Holi,296.28,0.0,0.0,43,Haze,haze,2020-01-06 15:00:00,1023,Ghodbunder Road
None,299.28,0.0,0.0,75,Clouds,overcast clouds,2020-01-06 16:00:00,3272,Jogeshwari-Vikhroli Link Road
None,296.59,0.0,0.0,42,Clouds,overcast clouds,2020-01-06 17:00:00,6545,Ghodbunder Road
None,297.82,0.0,0.0,89,Clouds,broken clouds,2020-01-06 18:00:00,5956,Link Road
None,299.42,0.0,0.0,95,Clouds,overcast clouds,2020-01-06 19:00:00,6581,Link Road
Ganesh Chaturthi,299.95,0.0,0.0,63,Clouds,broken clouds,2020-01-06 20:00:00,3528,LBS Marg
None,299.86,0.0,0.0,56,Clear,sky is clear,2020-01-06 21:00:00,1531,Jogeshwari-Vikhroli Link Road
None,298.89,0.0,0.0,9,Clouds,broken clouds,2020-01-06 22:00:00,2193,Andheri-Kurla Road
None,298.49,0.0,0.0,42,Clear,sky is clear,2020-01-06 23:00:00,2278,Ghodbunder Road
None,299.82,0.0,0.0,69,Haze,haze,2020-01-07 00:00:00,440,Eastern Express Highway
None,298.52,0.0,0.0,95,Clouds,broken clouds,2020-01-07 01:00:00,302,Eastern Express Highway
None,297.77,0.0,0.0,5,Clear,sky is clear,2020-01-07 02:00:00,500,Western Express Highway
None,297.43,0.0,0.0,67,Clouds,broken clouds,2020-01-07 03:00:00,374,LBS Marg
None,296.7,0.0,0.0,79,Haze,haze,2020-01-07 04:00:00,797,Jogeshwari-Vikhroli Link Road
None,296.57,0.0,0.0,58,Clouds,overcast clouds,2020-01-07 05:00:00,3340,Western Express Highway
None,299.22,0.0,0.0,20,Mist,mist,2020-01-07 06:00:00,2703,SV Road
None,297.2,0.0,0.0,58,Clouds,overcast clouds,2020-01-07 07:00:00,2287,Sion-Panvel Highway
None,299.41,0.0,0.0,73,Haze,haze,2020-01-07 08:00:00,5709,Andheri-Kurla Road
None,296.09,0.0,0.0,35,Haze,haze,2020-01-07 09:00:00,6983,Western Express Highway
None,298.98,0.0,0.0,99,Clouds,overcast clouds,2020-01-07 10:00:00,5943,NH-48 Mumbai-Pune
None,296.88,0.0,0.0,86,Clouds,overcast clouds,2020-01-07 11:00:00,2786,LBS Marg
None,296.39,0.0,0.0,39,Clear,sky is clear,2020-01-07 12:00:00,2686,Western Express Highway
None,297.46,0.0,0.0,41,Clouds,overcast clouds,2020-01-07 13:00:00,1911,LBS Marg
None,296.53,0.0,0.0,67,Clouds,overcast clouds,2020-01-07 14:00:00,3200,Andheri-Kurla Road
None,296.66,0.0,0.0,37,Haze,haze,2020-01-07 15:00:00,3147,SV Road
Ganesh Chaturthi,296.46,0.0,0.0,96,Clouds,broken clouds,2020-01-07 16:00:00,1740,Link Road
None,299.38,0.0,0.0,50,Clear,sky is clear,2020-01-07 17:00:00,5506,Ghodbunder Road
None,297.82,0.0,0.0,74,Clouds,overcast clouds,2020-01-07 18:00:00,5443,SV Road
None,298.7,0.0,0.0,71,Mist,mist,2020-01-07 19:00:00,5906,NH-48 Mumbai-Pune
None,298.59,0.0,0.0,89,Haze,haze,2020-01-07 20:00:00,5477,Link Road
None,296.56,0.0,0.0,63,Clouds,overcast clouds,2020-01-07 21:00:00,3317,Sion-Panvel Highway
Republic Day,298.15,0.0,0.0,85,Clouds,overcast clouds,2020-01-07 22:00:00,1179,Ghodbunder Road
None,298.35,0.0,0.0,83,Haze,haze,2020-01-07 23:00:00,2760,Jogeshwari-Vikhroli Link Road
None,297.63,0.0,0.0,88,Clear,sky is clear,2020-01-08 00:00:00,655,Jogeshwari-Vikhroli Link Road
None,299.8,0.0,0.0,87,Clear,sky is clear,2020-01-08 01:00:00,262,SV Road
None,297.59,0.0,0.0,58,Clear,sky is clear,2020-01-08 02:00:00,221,Sion-Panvel Highway
None,296.2,0.0,0.0,100,Clouds,broken clouds,2020-01-08 03:00:00,767,Eastern Express Highway
None,296.83,0.0,0.0,42,Clouds,broken clouds,2020-01-08 04:00:00,202,NH-48 Mumbai-Pune
None,297.11,0.0,0.0,69,Clouds,broken clouds,2020-01-08 05:00:00,1725,LBS Marg
None,298.64,0.3,0.0,75,Rain,light rain,2020-01-08 06:00:00,2043,LBS Marg
None,296.21,0.0,0.0,14,Mist,mist,2020-01-08 07:00:00,2418,Jogeshwari-Vikhroli Link Road
None,299.11,0.0,0.0,57,Clear,sky is clear,2020-01-08 08:00:00,4677,NH-48 Mumbai-Pune
None,298.91,0.0,0.0,38,Mist,mist,2020-01-08 09:00:00,4749,Western Express Highway
None,299.99,0.0,0.0,87,Haze,haze,2020-01-08 10:00:00,4801,Jogeshwari-Vikhroli Link Road
None,299.6,0.0,0.0,8,Clouds,broken clouds,2020-01-08 11:00:00,2796,NH-48 Mumbai-Pune
None,298.34,0.0,0.0,76,Haze,haze,2020-01-08 12:00:00,2535,Jogeshwari-Vikhroli Link Road
None,298.42,0.0,0.0,83,Clear,sky is clear,2020-01-08 13:00:00,2976,Ghodbunder Road
None,299.46,0.0,0.0,52,Clouds,broken clouds,2020-01-08 14:00:00,2316,Jogeshwari-Vikhroli Link Road
None,297.66,0.0,0.0,40,Haze,haze,2020-01-08 15:00:00,3452,SV Road
None,296.61,0.0,0.0,11,Clear,sky is clear,2020-01-08 16:00:00,2384,Eastern Express Highway
None,296.39,0.0,0.0,71,Clouds,broken clouds,2020-01-08 17:00:00,7300,Ghodbunder Road
Independence Day,297.32,0.0,0.0,85,Clouds,overcast clouds,2020-01-08 18:00:00,2605,Link Road
None,299.87,0.0,0.0,13,Clouds,overcast clouds,2020-01-08 19:00:00,5633,Sion-Panvel Highway
None,298.63,0.0,0.0,44,Clear,sky is clear,2020-01-08 20:00:00,5470,SV Road
Eid,299.05,0.0,0.0,71,Haze,haze,2020-01-08 21:00:00,1378,NH-48 Mumbai-Pune
None,298.7,0.0,0.0,84,Mist,mist,2020-01-08 22:00:00,1559,Andheri-Kurla Road
None,296.72,0.0,0.0,43,Clouds,overcast clouds,2020-01-08 23:00:00,3281,LBS Marg
None,296.57,0.0,0.0,18,Clear,sky is clear,2020-01-09 00:00:00,293,Western Express Highway
None,298.98,0.0,0.0,58,Haze,haze,2020-01-09 01:00:00,519,SV Road
None,298.89,0.0,0.0,76,Mist,mist,2020-01-09 02:00:00,359,Western Express Highway
None,296.63,0.0,0.0,34,Clear,sky is clear,2020-01-09 03:00:00,697,Link Road
None,298.43,0.0,0.0,96,Clouds,broken clouds,2020-01-09 04:00:00,640,SV Road
None,296.44,0.0,0.0,62,Mist,mist,2020-01-09 05:00:00,1593,Andheri-Kurla Road
None,296.88,0.0,0.0,0,Clear,sky is clear,2020-01-09 06:00:00,3071,Sion-Panvel Highway
None,296.55,0.0,0.0,15,Clouds,overcast clouds,2020-01-09 07:00:00,1859,Link Road
None,296.52,0.0,0.0,64,Clouds,broken clouds,2020-01-09 08:00:00,4795,SV Road
None,297.59,0.0,0.0,2,Haze,haze,2020-01-09 09:00:00,5782,Eastern Express Highway
None,298.3,0.0,0.0,37,Haze,haze,2020-01-09 10:00:00,5830,Western Express Highway
Diwali,296.69,0.0,0.0,88,Haze,haze,2020-01-09 11:00:00,1197,Eastern Express Highway
None,299.38,0.0,0.0,51,Mist,mist,2020-01-09 12:00:00,3282,Link Road
None,297.24,0.0,0.0,99,Clouds,overcast clouds,2020-01-09 13:00:00,2796,Ghodbunder Road
None,296.46,0.0,0.0,44,Clouds,overcast clouds,2020-01-09 14:00:00,1983,LBS Marg
None,296.41,0.0,0.0,77,Clouds,broken clouds,2020-01-09 15:00:00,1862,Eastern Express Highway
None,299.81,0.0,0.0,96,Haze,haze,2020-01-09 16:00:00,2419,NH-48 Mumbai-Pune
None,298.72,0.0,0.0,41,Mist,mist,2020-01-09 17:00:00,5618,SV Road
None,297.76,0.0,0.0,35,Clouds,overcast clouds,2020-01-09 18:00:00,7078,SV Road
None,296.3,0.0,0.0,7,Clear,sky is clear,2020-01-09 19:00:00,5314,Andheri-Kurla Road
None,298.58,0.0,0.0,78,Clear,sky is clear,2020-01-09 20:00:00,6895,Link Road
None,298.32,0.0,0.0,57,Clear,sky is clear,2020-01-09 21:00:00,2834,NH-48 Mumbai-Pune
Republic Day,296.75,0.0,0.0,19,Mist,mist,2020-01-09 22:00:00,855,Jogeshwari-Vikhroli Link Road
None,299.24,0.0,0.0,64,Clear,sky is clear,2020-01-09 23:00:00,2007,Western Express Highway
None,298.83,0.0,0.0,66,Mist,mist,2020-01-10 00:00:00,581,SV Road
None,299.67,0.0,0.0,86,Clouds,overcast clouds,2020-01-10 01:00:00,267,SV Road
None,297.32,0.0,0.0,36,Haze,haze,2020-01-10 02:00:00,353,NH-48 Mumbai-Pune
None,297.33,0.0,0.0,44,Clouds,broken clouds,2020-01-10 03:00:00,332,Link Road
None,298.38,0.0,0.0,71,Clouds,overcast clouds,2020-01-10 04:00:00,330,SV Road
None,298.68,0.0,0.0,11,Mist,mist,2020-01-10 05:00:00,2541,Link Road
None,297.45,0.0,0.0,27,Clouds,broken clouds,2020-01-10 06:00:00,1893,Jogeshwari-Vikhroli Link Road
None,296.91,0.0,0.0,37,Clear,sky is clear,2020-01-10 07:00:00,2539,Eastern Express Highway
None,299.08,0.0,0.0,4,Mist,mist,2020-01-10 08:00:00,5036,NH-48 Mumbai-Pune
None,298.39,0.0,0.0,88,Clouds,broken clouds,2020-01-10 09:00:00,6292,LBS Marg
None,296.17,0.0,0.0,56,Clouds,broken clouds,2020-01-10 10:00:00,5458,Jogeshwari-Vikhroli Link Road
None,298.14,0.0,0.0,24,Haze,haze,2020-01-10 11:00:00,2402,NH-48 Mumbai-Pune
None,297.85,0.0,0.0,64,Haze,haze,2020-01-10 12:00:00,3172,LBS Marg
None,296.8,0.0,0.0,6,Clouds,overcast clouds,2020-01-10 13:00:00,2635,SV Road
None,299.74,0.0,0.0,15,Mist,mist,2020-01-10 14:00:00,2058,LBS Marg
Independence Day,297.8,0.0,0.0,11,Haze,haze,2020-01-10 15:00:00,1586,Sion-Panvel Highway
None,297.8,0.0,0.0,53,Clear,sky is clear,2020-01-10 16:00:00,2265,Ghodbunder Road
None,296.94,0.0,0.0,28,Clouds,overcast clouds,2020-01-10 17:00:00,6373,Eastern Express Highway
None,299.17,0.0,0.0,60,Clouds,overcast clouds,2020-01-10 18:00:00,6921,LBS Marg
None,297.79,1.58,0.0,27,Rain,moderate rain,2020-01-10 19:00:00,7493,Ghodbunder Road
None,298.11,0.0,0.0,30,Clouds,overcast clouds,2020-01-10 20:00:00,5976,Western Express Highway
None,297.68,0.0,0.0,8,Haze,haze,2020-01-10 21:00:00,2722,Jogeshwari-Vikhroli Link Road
None,298.14,0.0,0.0,30,Mist,mist,2020-01-10 22:00:00,2379,Andheri-Kurla Road
None,296.01,0.0,0.0,53,Mist,mist,2020-01-10 23:00:00,2572,Eastern Express Highway
None,299.9,0.0,0.0,69,Mist,mist,2020-01-11 00:00:00,383,Ghodbunder Road
None,296.08,0.0,0.0,81,Clear,sky is clear,2020-01-11 01:00:00,229,SV Road
None,298.99,0.0,0.0,44,Clear,sky is clear,2020-01-11 02:00:00,495,Eastern Express Highway
None,298.33,0.0,0.0,5,Clouds,broken clouds,2020-01-11 03:00:00,429,SV Road
None,296.7,0.0,0.0,89,Haze,haze,2020-01-11 04:00:00,2661,LBS Marg
None,296.54,0.0,0.0,4,Haze,haze,2020-01-11 05:00:00,2620,Western Express Highway
Christmas,296.8,18.67,0.0,50,Thunderstorm,thunderstorm with rain,2020-01-11 06:00:00,590,Ghodbunder Road
None,297.01,0.0,0.0,36,Clouds,broken clouds,2020-01-11 07:00:00,2773,Western Express Highway
None,298.62,0.0,0.0,55,Clouds,overcast clouds,2020-01-11 08:00:00,2832,Jogeshwari-Vikhroli Link Road
None,299.83,0.0,0.0,63,Clouds,broken clouds,2020-01-11 09:00:00,2892,SV Road
None,299.19,0.0,0.0,93,Clear,sky is clear,2020-01-11 10:00:00,2233,Link Road
None,299.98,0.0,0.0,41,Clouds,overcast clouds,2020-01-11 11:00:00,4353,SV Road
None,297.18,0.0,0.0,21,Haze,haze,2020-01-11 12:00:00,3915,SV Road
Dussehra,296.17,0.0,0.0,78,Clouds,overcast clouds,2020-01-11 13:00:00,2154,Andheri-Kurla Road
None,299.92,0.0,0.0,85,Clear,sky is clear,2020-01-11 14:00:00,4050,SV Road
None,299.2,0.0,0.0,18,Clear,sky is clear,2020-01-11 15:00:00,1071,Jogeshwari-Vikhroli Link Road
None,296.5,0.0,0.0,46,Clouds,overcast clouds,2020-01-11 16:00:00,1066,NH-48 Mumbai-Pune
None,298.42,0.0,0.0,47,Clouds,overcast clouds,2020-01-11 17:00:00,2175,Eastern Express Highway
None,296.55,0.0,0.0,83,Clouds,overcast clouds,2020-01-11 18:00:00,1053,Eastern Express Highway
None,298.94,0.0,0.0,71,Haze,haze,2020-01-11 19:00:00,2441,Andheri-Kurla Road
Diwali,297.79,0.0,0.0,88,Clouds,overcast clouds,2020-01-11 20:00:00,704,Jogeshwari-Vikhroli Link Road
None,296.49,0.0,0.0,22,Haze,haze,2020-01-11 21:00:00,1179,Jogeshwari-Vikhroli Link Road
None,299.24,0.0,0.0,85,Clouds,overcast clouds,2020-01-11 22:00:00,2126,Eastern Express Highway
None,298.17,0.0,0.0,91,Clouds,broken clouds,2020-01-11 23:00:00,2625,LBS Marg
None,297.45,0.0,0.0,17,Clouds,broken clouds,2020-01-12 00:00:00,113,Jogeshwari-Vikhroli Link Road
None,297.44,0.0,0.0,70,Haze,haze,2020-01-12 01:00:00,133,Eastern Express Highway
